typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5152243","false","-1","N/A",,"false","5152243","false",,"false",,"39625096","39625096","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","300","GRC","Greece","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","49079","false","-1","N/A",,"false","49079","false",,"false",,"345252","345252","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","320","GTM","Guatemala","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1409819","false","-1","N/A",,"false","1409819","false",,"false",,"7276516","7276516","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","340","HND","Honduras","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3400102","false","-1","N/A",,"false","3400102","false",,"false",,"11495052","11495052","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1396","false","-1","N/A",,"false","1396","false",,"false",,"3609","3609","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8688566","false","-1","N/A",,"false","8688566","false",,"false",,"26700767","26700767","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","376","ISR","Israel","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","-1","N/A",,"false","1000","false",,"false",,"5874","5874","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","380","ITA","Italy","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6184797","false","-1","N/A",,"false","6184797","false",,"false",,"48331278","48331278","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","388","JAM","Jamaica","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2374","false","-1","N/A",,"false","2374","false",,"false",,"141215","141215","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15211","false","-1","N/A",,"false","15211","false",,"false",,"12436","12436","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","400","JOR","Jordan","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14848","false","-1","N/A",,"false","14848","false",,"false",,"138319","138319","0","true","false",
