country,year,species,production_bags_1000
Cameroon,2025,Robusta,200.0
Canada,2015,Arabica,0.0
Canada,2015,Robusta,0.0
Canada,2016,Arabica,0.0
Canada,2016,Robusta,0.0
Canada,2017,Arabica,0.0
Canada,2017,Robusta,0.0
Canada,2018,Arabica,0.0
Canada,2018,Robusta,0.0
Canada,2019,Arabica,0.0
Canada,2019,Robusta,0.0
Canada,2020,Arabica,0.0
Canada,2020,Robusta,0.0
Canada,2021,Arabica,0.0
Canada,2021,Robusta,0.0
Canada,2022,Arabica,0.0
Canada,2022,Robusta,0.0
Canada,2023,Arabica,0.0
Canada,2023,Robusta,0.0
Canada,2024,Arabica,0.0
Canada,2024,Robusta,0.0
Canada,2025,Arabica,0.0
Canada,2025,Robusta,0.0
Central African Republic,2015,Arabica,0.0
Central African Republic,2015,Robusta,8.0
Central African Republic,2016,Arabica,0.0
Central African Republic,2016,Robusta,5.0
Central African Republic,2017,Arabica,0.0
Central African Republic,2017,Robusta,3.0
Central African Republic,2018,Arabica,0.0
Central African Republic,2018,Robusta,2.0
Central African Republic,2019,Arabica,0.0
Central African Republic,2019,Robusta,0.0
Central African Republic,2020,Arabica,0.0
Central African Republic,2020,Robusta,0.0
Central African Republic,2021,Arabica,0.0
Central African Republic,2021,Robusta,0.0
Central African Republic,2022,Arabica,0.0
Central African Republic,2022,Robusta,0.0
Central African Republic,2023,Arabica,0.0
Central African Republic,2023,Robusta,0.0
Central African Republic,2024,Arabica,0.0
Central African Republic,2024,Robusta,0.0
Central African Republic,2025,Arabica,0.0
Central African Republic,2025,Robusta,0.0
Chile,2015,Arabica,0.0
Chile,2015,Robusta,0.0
Chile,2016,Arabica,0.0
Chile,2016,Robusta,0.0
Chile,2017,Arabica,0.0
Chile,2017,Robusta,0.0
Chile,2018,Arabica,0.0
Chile,2018,Robusta,0.0
Chile,2019,Arabica,0.0
Chile,2019,Robusta,0.0
Chile,2020,Arabica,0.0
Chile,2020,Robusta,0.0
Chile,2021,Arabica,0.0
Chile,2021,Robusta,0.0
Chile,2022,Arabica,0.0
Chile,2022,Robusta,0.0
Chile,2023,Arabica,0.0
Chile,2023,Robusta,0.0
Chile,2024,Arabica,0.0
Chile,2024,Robusta,0.0
Chile,2025,Arabica,0.0
Chile,2025,Robusta,0.0
China,2015,Arabica,1925.0
China,2015,Robusta,0.0
China,2016,Arabica,1900.0
China,2016,Robusta,0.0
China,2017,Arabica,1925.0
China,2017,Robusta,0.0
China,2018,Arabica,1925.0
China,2018,Robusta,0.0
China,2019,Arabica,2000.0
China,2019,Robusta,0.0
China,2020,Arabica,1900.0
China,2020,Robusta,0.0
China,2021,Arabica,1800.0
China,2021,Robusta,0.0
China,2022,Arabica,1800.0
China,2022,Robusta,0.0
China,2023,Arabica,1800.0
China,2023,Robusta,0.0
China,2024,Arabica,1900.0
China,2024,Robusta,0.0
China,2025,Arabica,1900.0
China,2025,Robusta,0.0
Colombia,2015,Arabica,14000.0
Colombia,2015,Robusta,0.0
Colombia,2016,Arabica,14600.0
Colombia,2016,Robusta,0.0
Colombia,2017,Arabica,13825.0
Colombia,2017,Robusta,0.0
Colombia,2018,Arabica,13870.0
Colombia,2018,Robusta,0.0
Colombia,2019,Arabica,14100.0
Colombia,2019,Robusta,0.0
Colombia,2020,Arabica,13400.0
Colombia,2020,Robusta,0.0
Colombia,2021,Arabica,11800.0
Colombia,2021,Robusta,0.0
Colombia,2022,Arabica,10700.0
Colombia,2022,Robusta,0.0
Colombia,2023,Arabica,12760.0
Colombia,2023,Robusta,0.0
Colombia,2024,Arabica,14800.0
Colombia,2024,Robusta,0.0
Colombia,2025,Arabica,13800.0
Colombia,2025,Robusta,0.0
Congo (Brazzaville),2015,Arabica,0.0
Congo (Brazzaville),2015,Robusta,0.0
Congo (Brazzaville),2016,Arabica,0.0
Congo (Brazzaville),2016,Robusta,0.0
Congo (Brazzaville),2017,Arabica,0.0
Congo (Brazzaville),2017,Robusta,0.0
Congo (Brazzaville),2018,Arabica,0.0
Congo (Brazzaville),2018,Robusta,0.0
Congo (Brazzaville),2019,Arabica,0.0
Congo (Brazzaville),2019,Robusta,0.0
Congo (Brazzaville),2020,Arabica,0.0
Congo (Brazzaville),2020,Robusta,0.0
Congo (Brazzaville),2021,Arabica,0.0
Congo (Brazzaville),2021,Robusta,0.0
Congo (Brazzaville),2022,Arabica,0.0
Congo (Brazzaville),2022,Robusta,0.0
Congo (Brazzaville),2023,Arabica,0.0
Congo (Brazzaville),2023,Robusta,0.0
Congo (Brazzaville),2024,Arabica,0.0
Congo (Brazzaville),2024,Robusta,0.0
Congo (Brazzaville),2025,Arabica,0.0
Congo (Brazzaville),2025,Robusta,0.0
Congo (Kinshasa),2015,Arabica,70.0
Congo (Kinshasa),2015,Robusta,150.0
Congo (Kinshasa),2016,Arabica,70.0
Congo (Kinshasa),2016,Robusta,160.0
Congo (Kinshasa),2017,Arabica,75.0
Congo (Kinshasa),2017,Robusta,175.0
Congo (Kinshasa),2018,Arabica,70.0
Congo (Kinshasa),2018,Robusta,175.0
Congo (Kinshasa),2019,Arabica,75.0
Congo (Kinshasa),2019,Robusta,180.0
Congo (Kinshasa),2020,Arabica,75.0
Congo (Kinshasa),2020,Robusta,175.0
Congo (Kinshasa),2021,Arabica,70.0
Congo (Kinshasa),2021,Robusta,200.0
Congo (Kinshasa),2022,Arabica,75.0
Congo (Kinshasa),2022,Robusta,180.0
Congo (Kinshasa),2023,Arabica,75.0
Congo (Kinshasa),2023,Robusta,150.0
Congo (Kinshasa),2024,Arabica,50.0
Congo (Kinshasa),2024,Robusta,145.0
Congo (Kinshasa),2025,Arabica,50.0
Congo (Kinshasa),2025,Robusta,150.0
Costa Rica,2015,Arabica,1625.0
Costa Rica,2015,Robusta,0.0
Costa Rica,2016,Arabica,1300.0
Costa Rica,2016,Robusta,0.0
Costa Rica,2017,Arabica,1525.0
Costa Rica,2017,Robusta,0.0
Costa Rica,2018,Arabica,1250.0
Costa Rica,2018,Robusta,0.0
